CHROMATOGRAM,
p6_d9_gudca_lcag-95_bsh1208_48h.raw,
Data points: 2576,
Time,Intensity
3.6593292,0
3.6788791,0
3.7013372,0
3.7131559,0
3.7215038,0
3.7286016,0
3.7426682,0
3.7532181,0
3.7753263,0
3.7916283,0
3.8031949,0
3.8102927,0
3.8209031,0
3.8280134,0
3.8351259,0
3.8386071,0
3.8422842,0
3.8452821,0
3.847605,0
3.84993,0
3.8546674,0
3.859357,0
3.8628736,0
3.8660319,0
3.8742027,0
3.8812985,0
3.8883234,0
3.8954338,0
3.9024462,0
3.9128899,0
3.9199816,0
3.9306419,0
3.9416397,0
3.9487917,0
3.9534376,0
3.9564355,0
3.9634166,0
3.9715603,0
3.974777,0
3.9778499,0
3.9849144,0
3.9920644,0
3.9952602,0
3.9985747,0
4.0067122,0
4.0114018,0
4.0186079,0
4.0256996,0
4.029135,0
4.0323099,0
4.0356724,0
4.0403953,0
4.0439036,0
4.0470973,0
4.0494202,0
4.0517431,0
4.0540681,0
4.056391,0
4.0587139,0
4.0610389,0
4.0633618,0
4.0656868,0
4.0680097,0
4.0703326,0
4.0726575,0
4.0749805,0
4.0773033,0
4.0796284,0
4.0819513,0
4.0842762,0
4.0865992,0
4.088922,0
4.0931762,0
4.0954991,0
4.0978241,0
4.100147,0
4.1024699,0
4.1047948,0
4.1071177,0
4.1094406,0
4.1117656,0
4.1140885,0
4.1164135,0
4.1187364,0
4.1238989,0
4.128178,0
4.1313071,0
4.13363,0
4.138605,0
4.1426612,0
4.1459445,0
4.150905,0
4.154634,0
4.1578632,0
4.1661361,0
4.1696089,0
4.1734339,0
4.1900651,0
4.1934025,0
4.1982234,0
4.2019004,0
4.2052358,0
4.2075608,0
4.2098837,0
4.2122087,0
4.2145316,0
4.2168544,0
4.2191794,0
4.2215024,0
4.2238253,0
4.2261502,0
4.2284731,0
4.2307981,0
4.233121,0
4.2354439,0
4.2377689,0
4.2400918,0
4.2424147,0
4.2447397,0
4.2470626,0
4.2493875,0
4.2517105,0
4.2540333,0
4.2584813,0
4.2608062,0
4.2631291,0
4.265452,0
4.267777,0
4.2700999,0
4.2724228,0
4.2747478,0
4.2770707,0
4.2793957,0
4.2817186,0
4.2840415,0
4.2863665,0
4.2886894,0
4.3005039,0
4.3042163,0
4.3089621,0
4.3127434,0
4.3160454,0
4.3183683,0
4.3206933,0
4.3230162,0
4.3253412,0
4.3301557,0
4.3372057,0
4.3443161,0
4.3479119,0
4.3509972,0
4.3706701,0
4.3777721,0
4.3883387,0
4.3915678,0
4.3986178,0
4.4091989,0
4.4174343,0
4.4245134,0
4.4390362,0
4.4461174,0
4.4567298,0
4.4751089,0
4.4944296,0
4.5140086,0
4.533821,0
4.5443834,0
4.5474959,0
4.5507646,0
4.5577667,0
4.5610895,0
4.564202,0
4.5675103,0
4.5706374,0
4.573904,0
4.5771332,0
4.580204,0
4.5883685,0
4.595383,0
4.6062892,0
4.6168829,0
4.6274703,0
4.6380285,0
4.6462806,0
4.650918,0
4.6590576,0
4.6622784,0
4.6653555,0
4.6685929,0
4.6791241,0
4.6825699,0
4.6856574,0
4.6996719,0
4.7067489,0
4.7138843,0
4.7172009,0
4.7203551,0
4.723653,0
4.7283905,0
4.7317508,0
4.7348591,0
4.7465403,0
4.7498382,0
4.7696568,0
4.7770526,0
4.7876379,0
4.7947567,0
4.7980649,0
4.8014024,0
4.8046066,0
4.8079107,0
4.812719,0
4.8160002,0
4.8241752,0
4.8323668,0
4.8356876,0
4.8389938,0
4.8421438,0
4.8455459,0
4.848598,0
4.8509229,0
4.8591624,0
4.8638687,0
4.8674165,0
4.8707957,0
4.8739499,0
4.8762727,0
4.8785956,0
4.8809206,0
4.8832435,0
4.8880227,0
4.8915664,0
4.894908,0
4.8997205,0
4.90686,0
4.9104537,0
4.9138225,0
4.9169037,0
4.9192287,0
4.9310557,0
4.938589,0
4.9456347,0
4.9562514,0
4.9669241,0
4.9829824,0
4.9936365,0
5.0131197,0
5.0325029,0
5.0465257,0
5.0583131,0
5.0654589,0
5.076113,0
5.0792838,0
5.0864316,0
5.0935629,0
5.0967253,0
5.1038253,0
5.1086315,0
5.1118232,0
5.1148398,0
5.1195627,0
5.1267251,0
5.1386646,0
5.1585041,0
5.1690977,0
5.1737394,0
5.1847997,0
5.1894393,0
5.1925726,0
5.2067808,0
5.2098683,0
5.2168433,0
5.2274328,0
5.2303431,0
5.2409326,0
5.2551117,0
5.2691867,0
5.2880803,0
5.2952094,0
5.3058322,0
5.3177134,0
5.3260029,0
5.3400591,0
5.3588735,0
5.3707151,0
5.3788567,0
5.3817921,0
5.3922629,0
5.3994212,0
5.4024544,0
5.4096169,0
5.4128919,0
5.4200773,0
5.4233126,0
5.4307959,0
5.4340938,0
5.4374042,0
5.4421604,0
5.4453541,0
5.4486583,0
5.4519833,0
5.455177,0
5.4584707,0
5.4616311,0
5.4650165,0
5.4683707,0
5.4714706,0
5.4748248,0
5.4779643,0
5.481306,0
5.4845893,0
5.4877768,0
5.4911434,0
5.49446,0
5.4975975,0
5.5022579,0
5.5056621,0
5.5088579,0
5.5121912,0
5.5203286,0
5.5235932,0
5.5269432,0
5.5300911,0
5.5334035,0
5.536566,0
5.5398535,0
5.544493,0
5.5516013,0
5.5586971,0
5.5658054,0
5.5728366,0
5.5762345,0
5.5793949,0
5.5827136,0
5.5859698,0
5.5894948,0
5.5924656,0
5.5947885,0
5.5971114,0
5.5994364,0
5.6017593,0
5.6040822,0
5.6064072,0
5.6087301,0
5.6135634,0
5.6167384,0
5.6200362,0
5.6271841,0
5.6342174,0
5.6372903,0
5.6444278,0
5.6515777,0
5.6587297,0
5.6729213,0
5.687517,0
5.7070314,0
5.7267501,0
5.7384729,0
5.7580686,0
5.7726747,0
5.7921683,0
5.8084391,0
5.8245327,0
5.8441555,0
5.8631408,0
5.8791865,0
5.8821219,0
5.898378,0
5.9065655,0
5.911355,0
5.9275174,0
5.9420465,0
5.9451089,0
5.9499485,0
5.9547047,0
5.9578318,0
5.9611255,0
5.9659651,0
5.9693255,0
5.9724838,0
5.9758463,0
5.9789712,0
5.9823337,0
5.9856233,0
5.9888066,0
5.9921628,0
5.9953211,0
5.9987148,0
6.0020357,0
6.0051314,0
6.0097856,0
6.0132168,0
6.0164897,0
6.0197792,0
6.0231251,0
6.0262126,0
6.0285354,0
6.0308604,0
6.0331833,0
6.0378229,0
6.0413041,0
6.0446833,0
6.047777,0
6.050102,0
6.0524249,0
6.0547478,0
6.0570727,0
6.0593956,0
6.0617185,0
6.0640435,0
6.0663664,0
6.0686914,0
