CHROMATOGRAM,
p6_b4_tudca_dny_bsh2_48h.raw,
Data points: 2464,
Time,Intensity
5.0072016,0
5.0288244,0
5.048668,0
5.0682261,0
5.0798469,0
5.0959489,0
5.1148675,0
5.1345465,0
5.1417028,0
5.1487964,0
5.1604839,0
5.1768483,0
5.1878816,0
5.2039523,0
5.2144856,0
5.2250896,0
5.2413458,0
5.2555582,0
5.2701247,0
5.2818289,0
5.2849288,0
5.295435,0
5.2985621,0
5.3056578,0
5.3103474,0
5.3244952,0
5.3361409,0
5.3480596,0
5.3670949,0
5.3829969,0
5.3877531,0
5.3948843,0
5.3979093,0
5.4085571,0
5.4157404,0
5.4188446,0
5.4259486,0
5.4294715,0
5.4324007,0
5.4371548,0
5.4404694,0
5.4510818,0
5.4541797,0
5.4612547,0
5.464563,0
5.4786483,0
5.4817399,0
5.4850337,0
5.4922128,0
5.4955523,0
5.5036898,0
5.5107001,0
5.5141147,0
5.5174459,0
5.5206105,0
5.5239313,0
5.5273563,0
5.5306417,0
5.5339791,0
5.5373583,0
5.5420041,0
5.5455145,0
5.5488249,0
5.5520082,0
5.5543332,0
5.556656,0
5.558979,0
5.561304,0
5.5636268,0
5.5683706,0
5.5718372,0
5.575131,0
5.5782726,0
5.5815413,0
5.5897662,0
5.5972266,0
5.6076953,0
5.6109557,0
5.6214702,0
5.6247493,0
5.6280368,0
5.6311514,0
5.6344347,0
5.6375409,0
5.6408284,0
5.6441576,0
5.64727,0
5.6505575,0
5.6536846,0
5.6642636,0
5.6675094,0
5.6791302,0
5.6825489,0
5.685651,0
5.6927009,0
5.6997467,0
5.70683,0
5.7185383,0
5.725657,0
5.7397673,0
5.7504464,0
5.7611068,0
5.783444,0
5.7881669,0
5.8078064,0
5.8194438,0
5.8336249,0
5.8532852,0
5.8641956,0
5.8838579,0
5.8955453,0
5.9117952,0
5.9276639,0
5.94227,0
5.9528096,0
5.9558324,0
5.9664636,0
5.9783177,0
5.9901051,0
6.00183,0
6.0050487,0
6.0087321,0
6.0116945,0
6.0140174,0
6.0163403,0
6.0186653,0
6.0209882,0
6.0256965,0
6.0303361,0
6.0338319,0
6.0369861,0
6.0393089,0
6.0440485,0
6.0473422,0
6.0507068,0
6.053838,0
6.0584776,0
6.0619754,0
6.0653025,0
6.06849,0
6.070815,0
6.0731379,0
6.0754608,0
6.0777857,0
6.0801086,0
6.0824336,0
6.0847565,0
6.0870794,0
6.0894044,0
6.0931982,0
6.0955231,0
6.097846,0
6.1001689,0
6.1024939,0
6.1048168,0
6.1071397,0
6.1094647,0
6.1117876,0
6.1141126,0
6.1164355,0
6.1187584,0
6.1210834,0
6.1234062,0
6.1257291,0
6.1280541,0
6.130377,0
6.132702,0
6.1350249,0
6.1373478,0
6.1396728,0
6.1419957,0
6.1443186,0
6.1466436,0
6.1489665,0
6.1512914,0
6.1536144,0
6.1559372,0
6.1582622,0
6.1605852,0
6.162908,0
6.165233,0
6.1675559,0
6.1698789,0
6.1722038,0
6.1760163,0
6.1783392,0
6.1806621,0
6.1829871,0
6.18531,0
6.1876329,0
6.1899578,0
6.1922807,0
6.1946057,0
6.1992453,0
6.2027495,0
6.2060557,0
6.2083807,0
6.2107035,0
6.2130265,0
6.2153514,0
6.2176743,0
6.2199993,0
6.2223222,0
6.2269618,0
6.2305742,0
6.2338596,0
6.2361846,0
6.2385075,0
6.2408325,0
6.2431554,0
6.2454783,0
6.2478033,0
6.2501262,0
6.2524491,0
6.2547741,0
6.2587471,0
6.261072,0
6.2633948,0
6.2657177,0
6.2680427,0
6.2703656,0
6.2726885,0
6.2750135,0
6.2773364,0
6.2796614,0
6.2819843,0
6.2843072,0
6.2866322,0
6.2889551,0
6.291278,0
6.293603,0
6.2959259,0
6.2982508,0
6.3005737,0
6.3028966,0
6.3052216,0
6.3075445,0
6.3098674,0
6.3121924,0
6.3145153,0
6.3168403,0
6.3191632,0
6.3214861,0
6.3238111,0
6.326134,0
6.3284569,0
6.3307819,0
6.3331048,0
6.3354298,0
6.3377526,0
6.3417736,0
6.3440984,0
6.3464214,0
6.3487442,0
6.3510692,0
6.3533921,0
6.355715,0
6.35804,0
6.3603629,0
6.3626879,0
6.3650108,0
6.3696753,0
6.3732586,0
6.3766544,0
6.3789773,0
6.3813023,0
6.3836253,0
6.3859482,0
6.3882731,0
6.390596,0
6.3929189,0
6.3976106,0
6.4012251,0
6.404523,0
6.4068459,0
6.4091709,0
6.4114938,0
6.4138167,0
6.4161417,0
6.4184646,0
6.4207875,0
6.4247583,0
6.4270833,0
6.4294062,0
6.4317291,0
6.4340541,0
6.436377,0
6.4386998,0
6.4410248,0
6.4433477,0
6.4456727,0
6.4479956,0
6.4503185,0
6.4526435,0
6.4549664,0
6.4572914,0
6.4596143,0
6.4619372,0
6.4666455,0
6.4736705,0
6.4806996,0
6.4841599,0
6.4874266,0
6.4905745,0
6.4952453,0
6.4986307,0
6.501764,0
6.5050994,0
6.508689,0
6.5117515,0
6.5150806,0
6.5184014,0
6.521593,0
6.5249513,0
6.5280722,0
6.5314242,0
6.53477,0
6.5394096,0
6.5429137,0
6.5462762,0
6.5494366,0
6.5517595,0
6.5540845,0
6.5564074,0
6.5587303,0
