BSH_enb	cageID	mouseID	wk6_mgdl
EcAZ-2	Cage1	1N	335
EcAZ-2	Cage1	1R	240
EcAZ-2	Cage1	1B	267
EcAZ-2	Cage2	2L	246
EcAZ-2	Cage2	2R	295
EcAZ-2	Cage2	2B	283
EcAZ-2	Cage3	3N	275
EcAZ-2	Cage3	3B	311
EcAZ-2	Cage4	4N	289
EcAZ-2	Cage4	4B	283
EcAZ-2BSH+	Cage5	5N	277
EcAZ-2BSH+	Cage5	5L	235
EcAZ-2BSH+	Cage5	5R	280
EcAZ-2BSH+	Cage6	6L	193
EcAZ-2BSH+	Cage6	6R	290
EcAZ-2BSH+	Cage6	6B	246
EcAZ-2BSH+	Cage7	7L	243
EcAZ-2BSH+	Cage7	7R	255
EcAZ-2BSH+	Cage8	8L	154
EcAZ-2BSH+	Cage8	8B	191
EcAZ_DneBSH1	Cage9	9N	312
EcAZ_DneBSH1	Cage9	9L	240
EcAZ_DneBSH1	Cage9	9R	267
EcAZ_DneBSH1	Cage10	10N	188
EcAZ_DneBSH1	Cage10	10L	302
EcAZ_DneBSH1	Cage10	10R	182
EcAZ_DneBSH1	Cage11	11L	208
EcAZ_DneBSH1	Cage11	11B	269
EcAZ_DneBSH1	Cage12	12N	261
EcAZ_DneBSH1	Cage12	12B	232
EcAZ_LgaBSH	Cage13	13N	240
EcAZ_LgaBSH	Cage13	13L	251
EcAZ_LgaBSH	Cage13	13R	285
EcAZ_LgaBSH	Cage14	14L	238
EcAZ_LgaBSH	Cage14	14R	299
EcAZ_LgaBSH	Cage14	14B	210
EcAZ_LgaBSH	Cage15	15N	273
EcAZ_LgaBSH	Cage15	15B	247
EcAZ_LgaBSH	Cage16	16L	326
EcAZ_LgaBSH	Cage16	16R	250
