BSH_enb	cageID	mouseID	wk6_ngdl
EcAZ-2	Cage1	1N	171.72
EcAZ-2	Cage1	1R	89.72
EcAZ-2	Cage1	1B	71.04
EcAZ-2	Cage2	2L	60.49
EcAZ-2	Cage2	2R	96.35
EcAZ-2	Cage2	2B	81.46
EcAZ-2	Cage3	3N	78.08
EcAZ-2	Cage3	3B	86.87
EcAZ-2	Cage4	4N	94.99
EcAZ-2	Cage4	4B	95.32
EcAZ-2BSH+	Cage5	5N	95.81
EcAZ-2BSH+	Cage5	5L	96.89
EcAZ-2BSH+	Cage5	5R	64.68
EcAZ-2BSH+	Cage6	6L	83.22
EcAZ-2BSH+	Cage6	6R	69.42
EcAZ-2BSH+	Cage6	6B	99.19
EcAZ-2BSH+	Cage7	7L	97.02
EcAZ-2BSH+	Cage7	7R	101.89
EcAZ-2BSH+	Cage8	8L	43.30
EcAZ-2BSH+	Cage8	8B	48.58
EcAZ_DneBSH1	Cage9	9N	109.61
EcAZ_DneBSH1	Cage9	9L	55.07
EcAZ_DneBSH1	Cage9	9R	76.59
EcAZ_DneBSH1	Cage10	10N	82.27
EcAZ_DneBSH1	Cage10	10L	68.74
EcAZ_DneBSH1	Cage10	10R	68.88
EcAZ_DneBSH1	Cage11	11L	57.37
EcAZ_DneBSH1	Cage11	11B	55.48
EcAZ_DneBSH1	Cage12	12N	57.65
EcAZ_DneBSH1	Cage12	12B	57.78
EcAZ_LgaBSH	Cage13	13N	80.65
EcAZ_LgaBSH	Cage13	13L	66.17
EcAZ_LgaBSH	Cage13	13R	54.40
EcAZ_LgaBSH	Cage14	14L	93.37
EcAZ_LgaBSH	Cage14	14R	109.34
EcAZ_LgaBSH	Cage14	14B	71.45
EcAZ_LgaBSH	Cage15	15N	61.84
EcAZ_LgaBSH	Cage15	15B	59.40
EcAZ_LgaBSH	Cage16	16L	48.85
EcAZ_LgaBSH	Cage16	16R	79.43
