BSH_enb	cageID	mouseID	log10_CFU_g_feces
EcAZ-2	Cage1	1N	5.73
EcAZ-2	Cage1	1R	5.29
EcAZ-2	Cage1	1B	5.55
EcAZ-2	Cage2	2L	5.84
EcAZ-2	Cage2	2R	5.77
EcAZ-2	Cage2	2B	6.19
EcAZ-2	Cage3	3N	5.61
EcAZ-2	Cage3	3B	5.75
EcAZ-2	Cage4	4N	5.58
EcAZ-2	Cage4	4B	6.05
EcAZ-2BSH+	Cage5	5N	5.83
EcAZ-2BSH+	Cage5	5L	6.74
EcAZ-2BSH+	Cage5	5R	5.92
EcAZ-2BSH+	Cage6	6L	5.97
EcAZ-2BSH+	Cage6	6R	6.55
EcAZ-2BSH+	Cage6	6B	5.31
EcAZ-2BSH+	Cage7	7L	5.95
EcAZ-2BSH+	Cage7	7R	5.87
EcAZ-2BSH+	Cage8	8L	6.17
EcAZ-2BSH+	Cage8	8B	6.31
EcAZ_DneBSH1	Cage9	9N	5.80
EcAZ_DneBSH1	Cage9	9L	5.53
EcAZ_DneBSH1	Cage9	9R	6.77
EcAZ_DneBSH1	Cage10	10N	5.15
EcAZ_DneBSH1	Cage10	10L	6.63
EcAZ_DneBSH1	Cage10	10R	5.96
EcAZ_DneBSH1	Cage11	11L	5.53
EcAZ_DneBSH1	Cage11	11B	5.77
EcAZ_DneBSH1	Cage12	12N	5.90
EcAZ_DneBSH1	Cage12	12B	6.22
EcAZ_LgaBSH	Cage13	13N	5.56
EcAZ_LgaBSH	Cage13	13L	5.05
EcAZ_LgaBSH	Cage13	13R	5.95
EcAZ_LgaBSH	Cage14	14L	6.45
EcAZ_LgaBSH	Cage14	14R	5.36
EcAZ_LgaBSH	Cage14	14B	6.42
EcAZ_LgaBSH	Cage15	15N	7.07
EcAZ_LgaBSH	Cage15	15B	6.12
EcAZ_LgaBSH	Cage16	16L	6.38
EcAZ_LgaBSH	Cage16	16R	6.53
