FeatureID	Name	rab.all	rab.win.FA	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF00308.21	Bacterial dnaA  protein	3.1081399158669	3.28150258741561	2.93100186117312	0.31188195568227	1.11487479072837	-0.185456015436812	0.38333333790312	0.326466354236366	0.516235981954675	0.5026997002997	0.654575398588208	none
PF08299.14	Bacterial dnaA protein helix-turn-helix	3.10531142757982	3.28542171504658	2.91644087101071	0.346065926469135	1.1431976415282	-0.200975842154461	0.37641572771996	0.327067180845791	0.515730742900653	0.502572627372627	0.650434401693714	none
PF01527.23	Transposase	3.91136752139365	3.97774185153092	3.7275336648393	0.342202064327759	1.66582103013338	-0.168689469248987	0.430379749461449	0.6412665914046	0.778255556737653	0.661095704295704	0.787665078283161	none
PF01025.22	GrpE	1.19245500771211	1.62779458038318	0.647059941214606	0.992230971357814	2.04434952504073	-0.405464756075215	0.263157906031298	0.136893881115638	0.297877856839893	0.215433766233766	0.372322410069183	none
PF00012.23	Hsp70 protein	5.10674467290779	5.80405570588709	4.610537764168	1.09938229269192	0.753408995403776	-1.3251309388886	0.0666223162765619	0.00380588926345883	0.0414069255785165	0.00565674325674326	0.0411384973006703	up
PF06100.14	MCRA family	1.18005373834518	1.31992877406292	0.9410537685121	0.468271057588634	2.12683985127534	-0.173758683350838	0.406666670248255	0.379130431943232	0.556174438707637	0.583498501498501	0.724253328944098	none
PF08220.15	DeoR-like helix-turn-helix domain	3.70655816425179	3.93674175297672	3.37413356204709	0.410054624939995	1.08482855182109	-0.320739168586147	0.365333338711092	0.514144635889544	0.665003766550526	0.462493906093906	0.630786719335786	none
PF00455.25	DeoR C terminal sensor domain	3.31831212778067	3.74613609251103	2.92132932928766	0.719677572237792	1.43949470657486	-0.426147524992606	0.27333334389995	0.305300964608808	0.482143159146991	0.200944255744256	0.374877287265806	none
PF00294.27	pfkB family carbohydrate kinase	5.13770429054501	5.46773706883216	4.85311161486632	0.554635152879226	0.784148569371269	-0.608950030658485	0.250499679176972	0.140225136513341	0.312683177278708	0.164617782217782	0.335438926544368	none
PF00359.25	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	3.25968729094077	3.49595846114098	2.79184918633953	0.71075981468203	1.7585816679957	-0.324879017664682	0.330666673750784	0.163325471692041	0.350437304755281	0.342954245754246	0.519243525669102	none
PF02302.20	PTS system, Lactose/Cellobiose specific IIB subunit	3.16967339917506	3.67361289643947	2.01573201449725	1.55685216521189	1.9193347766044	-0.627426476827169	0.259826793693177	0.0953930637830629	0.258674238585119	0.168109490509491	0.344245787837894	none
PF02378.21	Phosphotransferase system, EIIC	4.96270325510879	6.67459532832259	3.05712145311301	3.66230017520439	1.99579610743016	-1.67001045882285	0.0106599892937206	0.00255615676408135	0.0306924731152167	0.000642557442557443	0.0117997047621595	up
PF13396.9	Phospholipase_D-nuclease N-terminal	3.40915125557321	4.6745236112325	2.61902115569261	2.07393752861778	1.36070247877192	-1.51039765807432	0.0253335113271223	0.00873988392231844	0.0582612744218323	0.00173506493506494	0.0192072125488776	up
PF13091.9	PLD-like domain	4.5490406740155	5.67014291345871	3.82325054492647	1.77984834312134	1.01525644196236	-1.76012802345263	0.0279815062431525	0.00085500668491914	0.0189552216886014	0.00163276723276723	0.0196148479807032	up
PF10298.12	WhiA N-terminal LAGLIDADG-like domain	2.1518993181999	2.64890258180043	0.813775023110224	1.71969667301056	2.17435735698151	-0.64594287449766	0.217854778802425	0.0515068214203012	0.179818844404734	0.12669010989011	0.270779385405885	none
PF14527.9	WhiA LAGLIDADG-like domain	2.30402512052743	2.71628652397669	1.41128323178761	1.19888479137469	1.63293984838402	-0.559003732640968	0.249167234249977	0.0959367604593794	0.251000287566322	0.188644155844156	0.348558583201236	none
PF02650.17	WhiA C-terminal HTH domain	2.29603542029733	2.71253671710727	1.40734583372091	1.14889699953925	1.67252107311418	-0.568090223112926	0.247834789324005	0.10118691928973	0.257942063246371	0.194534265734266	0.354200284246483	none
PF01226.20	Formate/nitrite transporter	-0.250564638581292	-0.730625973222661	0.0454770803717208	-0.901525013026033	3.79152844852984	0.211037270039338	0.393737512444108	0.480762203756121	0.640261726807351	0.524642957042957	0.672545396702044	none
PF03462.21	PCRF domain	3.81154713881759	3.96066564202817	3.73738982998194	0.0751829644800512	1.12321658155719	-0.037930238622494	0.468354431554951	0.685563342530988	0.810324216984289	0.723050949050949	0.829773156587497	none
PF00472.23	RF-1 domain	3.86797420894448	3.95853402312202	3.82446579299998	0.0529264242442844	1.14157441614069	-0.0298283887444048	0.477015323969872	0.677111413001961	0.802970294848503	0.731503296703297	0.835996586031256	none
PF00268.24	Ribonucleotide reductase, small chain	-1.18679712735215	-0.526701050793226	-1.73169459232653	0.346734125507599	5.0152117826928	-0.0544782438267265	0.473017989008912	0.590849817864779	0.729919109756839	0.674578221778222	0.793657609867463	none
PF08343.13	Ribonucleotide reductase N-terminal	-0.906615225374137	-0.610537304055907	-1.08723404928413	0.1357934748431	4.58861499861445	-0.0239523525568288	0.488341106360851	0.614374781074425	0.746116033775945	0.696232967032967	0.806114177793142	none
PF00317.24	Ribonucleotide reductase, all-alpha domain	0.0622930207095376	-0.143576996593337	0.310140091527318	-0.741852548649227	4.36389604165447	0.140918648803851	0.430379749461449	0.61116178416631	0.749332068086644	0.67475964035964	0.79437528247011	none
PF02867.18	Ribonucleotide reductase, barrel domain	2.22928212408211	-0.0627051785939488	3.39063711733489	-3.39610011588364	3.82070753575615	0.781260774945015	0.166000022338205	0.0969795130690154	0.24230369581812	0.0502593406593407	0.159648323557592	none
PF07972.14	NrdI Flavodoxin like	-2.5593529559019	-3.0890937927317	-2.05147812151103	-1.10773359989884	4.41699298631532	0.222148547245493	0.395069957424349	0.462241528839127	0.613567372018135	0.481078921078921	0.621371187966555	none
PF02518.29	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	8.35678448242666	9.02763560536398	8.07858519406965	0.997584382746832	0.413574688503006	-2.41236854228705	0.000672920018806483	2.02317356404645e-05	0.00344688790585776	0.000403596403596404	0.00948064384538637	up
PF00204.28	DNA gyrase B	4.79334925822093	4.81235785779088	4.76769740192665	0.149833471245416	0.757619711229381	-0.187203430829724	0.42238507955727	0.465030514269153	0.634648769184141	0.667213586413586	0.79402729135883	none
PF01751.25	Toprim domain	6.09875689232784	6.21110633878277	5.9291597912232	0.195629164274606	0.499053455938273	-0.358987413066067	0.350000006105005	0.373450894660915	0.554603701833164	0.418464335664336	0.593154614116606	none
PF00986.24	DNA gyrase B subunit, carboxyl terminus	4.74435132632156	4.80684892419048	4.68955988205945	0.240545505210535	0.750541827991218	-0.304308521654673	0.36175883298481	0.327589091790111	0.510374862039726	0.524953446553447	0.681330288798603	none
PF00929.27	Exonuclease	4.70204433953471	5.36234602726485	4.16811496642103	1.14214172403649	0.757579697128905	-1.42351962770311	0.0480000915868691	0.00263727427519497	0.0323825390364457	0.0036987012987013	0.0295602918235682	up
PF00521.23	DNA gyrase/topoisomerase IV, subunit A	5.02706640311231	5.13561941091334	4.95886180866551	0.165173262720662	0.745456322719644	-0.191638855091249	0.413057964675142	0.564394461775383	0.712263183064113	0.632088311688312	0.764585136048649	none
PF03989.16	DNA gyrase C-terminal domain, beta-propeller	7.12316898588338	7.24593770812761	6.81148476262902	0.404629610044984	0.760857692648488	-0.479047764741044	0.327333340594301	0.253992060484926	0.457246968439675	0.325286713286713	0.528149778555329	none
PF01544.21	CorA-like Mg2+ transporter protein	1.48645748794239	0.0667713998065889	2.90496941437676	-2.54590350673798	2.83241690672208	0.79640924747717	0.164666689239557	0.134560643997653	0.281854081583146	0.0503008991008991	0.154299313938736	none
PF13231.9	Dolichyl-phosphate-mannose-protein mannosyltransferase	2.73009889714636	4.95966598456151	1.26726057982303	3.55502729585507	1.69926435334596	-2.01379675310242	0.00400115152838583	0.00166269039174878	0.0221347055719706	0.000512287712287712	0.0105155171092173	up
PF00535.29	Glycosyl transferase family 2	6.7961823401934	7.40143200807945	6.56516873462824	0.906012100135082	0.547543180722343	-1.63002555316492	0.0106670959500989	0.000598456262051613	0.0167339230455734	0.000738461538461538	0.0123940817706789	up
PF00072.27	Response regulator receiver domain	8.34280361717742	9.13664019705088	7.87235002117563	1.24195775314091	0.53587378255193	-2.25149700036735	0.000673368629139601	3.9193454590166e-05	0.00462603140516974	0.000404395604395604	0.00948677757984456	up
PF00486.31	Transcriptional regulatory protein, C terminal	6.83819723635221	7.17531236496503	6.42795065481241	0.697549178550672	0.761121352450874	-0.877208351379111	0.146666692806954	0.0205038617731396	0.11225778438026	0.032827972027972	0.126497695203057	none
PF13522.9	Glutamine amidotransferase domain	3.85328600339796	4.56623923762548	3.16213573284207	1.24843539555019	1.11535463997122	-1.01301185814782	0.131245866014785	0.0169047886286125	0.0940502111311648	0.0273270729270729	0.10358959520625	none
PF01380.25	SIS domain	4.96314231781517	5.49510710039136	4.140113090375	1.31028224604373	0.873268811721756	-1.18729495453373	0.150566314404717	0.00997198591905967	0.0758216292351789	0.0366873126873127	0.136925771582254	none
PF06114.16	IrrE N-terminal-like domain	4.08086617605742	4.15858574247763	3.66550060523537	0.185573063343288	1.64903398795699	-0.0993857810461702	0.460666668132528	0.723727803971591	0.83455344294194	0.810236563436563	0.890740604834803	none
PF01381.25	Helix-turn-helix	6.25300912287391	6.4648743372718	5.99113681353931	0.360440322416482	0.78075099273498	-0.445724394736676	0.31845437149215	0.188492871744216	0.378199144323941	0.295172027972028	0.486708662228235	none
PF10543.12	ORF6N domain	0.521338994494518	0.0609854415412441	0.782047344139989	-1.0568422838847	3.37742571099284	0.261412642806748	0.343333339767493	0.417635251488063	0.585237359975258	0.401838161838162	0.567621523844456	none
PF10552.12	ORF6C domain	-2.23414477214519	-1.64112784345274	-2.6294027459364	0.654475518437619	4.39796829329823	-0.136106153555972	0.424000002881386	0.490700925300559	0.635634762099626	0.53916003996004	0.674060547705528	none
PF00004.32	ATPase family associated with various cellular activities (AAA)	6.39395243971933	6.62480266730903	6.16690004648049	0.414359567484754	0.579845439115672	-0.671065470675499	0.252666678794869	0.138713453316111	0.311381786496655	0.139576423576424	0.304869892576055	none
PF16193.8	AAA C-terminal domain	2.94961374538278	2.92364665039849	2.96960103329595	-0.068486124886352	1.77159969985237	0.0220681979817215	0.472666667682047	0.600064010198921	0.744638138811488	0.691439360639361	0.807405213358635	none
PF12002.11	MgsA AAA+ ATPase C terminal	2.94933089416666	2.90928675525656	2.97543564873226	-0.0600839350690361	1.76092407437786	0.0205939473358328	0.474350433995858	0.59298844355168	0.739687609224888	0.698705694305694	0.812396957016398	none
