FeatureID	Name	rab.all	rab.win.FT	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF00308.21	Bacterial dnaA  protein	2.56607604416772	2.5688529737081	2.56216927735339	-0.0852841536276365	1.48838249078494	0.0415373834638714	0.470000001115125	0.582154599194524	0.811627252834098	0.726261738261738	0.871672841548645	none
PF08299.14	Bacterial dnaA protein helix-turn-helix	2.54973350993142	2.58448772155694	2.5227697405588	-0.00445916679065128	1.49530121617883	0.0027534176628703	0.498334443765803	0.580303830213356	0.810207790701615	0.705059340659341	0.85808276365129	none
PF01527.23	Transposase	3.55487521664733	3.5030071749856	3.60457467231117	-0.237967372670122	1.3588463771471	0.146396866631937	0.435043306907536	0.59681786613965	0.814469369133989	0.698467532467532	0.857187364055099	none
PF01025.22	GrpE	0.746150661085906	1.38585761399639	0.197020160407467	1.27812801011301	2.40073117291054	-0.417597235906464	0.262491683563237	0.260483833309799	0.535386265926478	0.2269002997003	0.467069596007585	none
PF00012.23	Hsp70 protein	4.83959354260376	5.23465259071316	4.60496076189804	0.647505145254363	0.744718657479699	-0.787240867687487	0.147235202529104	0.0404506342541552	0.286256536128419	0.0430761238761239	0.210995090029415	none
PF06100.14	MCRA family	1.66272590537733	0.429004804444244	2.48403440669858	-2.01157516545983	3.40430145160215	0.496611586749093	0.243171232091409	0.214576832713382	0.53753294870895	0.128532267732268	0.376536701734403	none
PF08220.15	DeoR-like helix-turn-helix domain	3.68336227586202	3.77857044441164	3.59716144155511	0.112302921351943	1.14430633071528	-0.0962659969041725	0.458000001566609	0.688962541593105	0.862954483577926	0.699820979020979	0.855679535560473	none
PF00455.25	DeoR C terminal sensor domain	2.98751859534439	3.27326360955867	2.7171584663302	0.57641012814995	1.32624148990038	-0.372821560453728	0.323117928864115	0.225401203781345	0.540358588875705	0.346630969030969	0.594703979502765	none
PF00294.27	pfkB family carbohydrate kinase	4.56504768574406	4.94738743923757	4.2722862746051	0.684492669690722	0.951668960607212	-0.675319491337297	0.190666685227631	0.09154693908675	0.374308130903808	0.0783616383616384	0.291527253294696	none
PF00359.25	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	3.0518364021335	3.17799709431614	2.91358115775301	0.366767172276699	1.47685712164391	-0.182066272069969	0.374417060254251	0.288031496769856	0.606043298999425	0.523122477522478	0.732202373995515	none
PF02302.20	PTS system, Lactose/Cellobiose specific IIB subunit	2.65074998235515	3.32262215204428	1.89192938439736	1.44766367734549	1.71251225904981	-0.742958472900072	0.180000020074263	0.0546715977558126	0.311936502789794	0.0652827172827173	0.270027735175287	none
PF02378.21	Phosphotransferase system, EIIC	4.113146308106	6.19190839474523	3.69324258697458	2.19501929548928	1.58285111134704	-1.28682771986811	0.108594307875146	0.0163180478952934	0.210348068127521	0.019363036963037	0.154213585090641	none
PF13396.9	Phospholipase_D-nuclease N-terminal	3.02874899627959	4.03185615405964	2.43099726205683	1.47271310299558	1.32893500578374	-0.767230370302541	0.175333354124112	0.420973797695257	0.658239350270627	0.0506437562437562	0.252646122174193	none
PF13091.9	PLD-like domain	4.13743358190361	5.24142422388905	3.70565631478613	1.42588678082965	1.15296809774926	-0.816657771041365	0.170666688211038	0.55046756384326	0.772005563396405	0.0400847152847153	0.235926165006424	none
PF10298.12	WhiA N-terminal LAGLIDADG-like domain	1.46254197836128	2.47502596795986	0.811569623835637	1.56389549679201	2.84249558497942	-0.506944382395525	0.201199217724494	0.178298410533158	0.461681921252508	0.0952375624375624	0.317194727341408	none
PF14527.9	WhiA LAGLIDADG-like domain	1.54176500437439	2.5009330970632	0.962606281996581	1.4997943242335	2.88849519690807	-0.506355091896798	0.216666682124016	0.192087850765918	0.477806725409343	0.112014385614386	0.343178110300434	none
PF02650.17	WhiA C-terminal HTH domain	1.53375823156842	2.5187413976582	0.954139392242808	1.42438687373416	2.91281303594436	-0.454934252496153	0.21319122167346	0.205386640395891	0.492067843583077	0.110224175824176	0.344347905903977	none
PF01226.20	Formate/nitrite transporter	-0.0873991175661457	0.0870930736555522	-0.295678296219688	0.361237162192166	2.70690556007158	-0.0979927981494163	0.446000002023603	0.444132249478841	0.700084977352263	0.553225174825175	0.754579241315841	none
PF03462.21	PCRF domain	3.13987063677079	3.3742221243623	2.89924654150693	0.489253321659561	1.02990265526772	-0.443013822063503	0.324450373828521	0.259792208640845	0.564755951555031	0.336228571428571	0.586901226985439	none
PF00472.23	RF-1 domain	3.148873230312	3.36594835286508	2.92786997970215	0.443552900009622	1.02744365905303	-0.383471234226527	0.336442378526689	0.318583223843578	0.612414631504812	0.396193806193806	0.63774912519157	none
PF00268.24	Ribonucleotide reductase, small chain	-2.08383194743275	-2.79631108135842	-1.54039413953724	-1.34742495525092	4.77144300741173	0.237903996921416	0.380000004716091	0.448700048022046	0.700533110725603	0.480163436563437	0.687586356371189	none
PF08343.13	Ribonucleotide reductase N-terminal	-1.70029268745361	-1.32271058230511	-2.01648403393731	0.438366879259676	4.15250649104938	-0.0886643495284928	0.457028649169526	0.540004603992926	0.770452086374424	0.592527872127872	0.7813564832576	none
PF00317.24	Ribonucleotide reductase, all-alpha domain	-0.36684395657918	-1.18140602929854	0.194010106983679	-1.31348705988615	3.96915353069115	0.28702384018431	0.348666672836835	0.437605384521015	0.69596413846179	0.396177022977023	0.627375122869372	none
PF02867.18	Ribonucleotide reductase, barrel domain	0.254699899424183	-1.06347732678475	1.1241518069501	-2.14547513326743	3.77395758227201	0.50078930225369	0.252498346569344	0.275713705689179	0.570169887592295	0.191042557442557	0.441785896064225	none
PF02518.29	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	8.3851688424469	8.69864947746647	8.28631677818599	0.391293584672971	0.363659151044168	-0.900058674901298	0.17921387759398	0.0850559563108604	0.384417900585337	0.0496759240759241	0.25483338712929	none
PF00204.28	DNA gyrase B	4.30625398321762	4.54333903503358	4.13696837211901	0.370759193551963	0.662313746290502	-0.462167424904843	0.263824128499574	0.381970570619355	0.639939333768047	0.224457942057942	0.470621943836921	none
PF01751.25	Toprim domain	6.21217224294356	6.22119657445367	6.19578196983736	0.0238610951613198	0.594897240155687	-0.0325744705409678	0.48434377139911	0.746499438028566	0.895463515990757	0.810835964035964	0.919769611714016	none
