FeatureID	Name	rab.all	rab.win.FA	rab.win.FT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF00308.21	Bacterial dnaA  protein	2.68035251118064	2.78213647983611	2.56086595933332	-0.208506483618366	1.12995383713602	-0.130757985269541	0.419860047412211	0.417923598684528	0.807976470695721	0.531557998872846	0.874532499155815	none
PF08299.14	Bacterial dnaA protein helix-turn-helix	2.67082715502441	2.75940643711584	2.56519056658569	-0.188785521292751	1.1215669810204	-0.117185304556963	0.428000000680784	0.431548933568901	0.812532191724602	0.532040111591195	0.876681325727297	none
PF01527.23	Transposase	3.49149886465156	3.71808251177197	3.17936348638206	-0.512969876412298	1.02898396706089	-0.408283718812416	0.293902034953162	0.09787855562978	0.714593734125819	0.124712050636132	0.673874208687882	none
PF01025.22	GrpE	1.44364547295591	1.44356432678232	1.44482202306807	0.0152487383681272	1.67894449109478	0.00739105904353275	0.495666666706793	0.562698491418594	0.859405497336927	0.655556475292106	0.919629782033366	none
PF00012.23	Hsp70 protein	5.40291833605815	5.53783889022636	5.14074551071531	-0.320326399803951	0.727292658832719	-0.401594892770674	0.335666668372543	0.192257258044754	0.735456106433445	0.206527141185642	0.745652204727569	none
PF06100.14	MCRA family	0.790354414991734	1.09484792324984	0.320186823652434	-0.906927814987515	2.62375292442356	-0.274598108681694	0.340886372847787	0.261417833946905	0.760828676453545	0.255513955555819	0.760468406251183	none
PF08220.15	DeoR-like helix-turn-helix domain	3.63162539694726	3.63970707429864	3.62224059861589	0.0744365405440632	0.958807883974554	0.0634832989208287	0.468333333627724	0.525472376745074	0.846425317818236	0.644046154141995	0.917852844499458	none
PF00455.25	DeoR C terminal sensor domain	3.28982599799231	3.36131872200555	3.21859320006624	-0.0183116493397417	1.01407559955355	-0.0168346841159015	0.492333333404338	0.575224249957608	0.863790889626377	0.686244036216845	0.930307920927984	none
PF00294.27	pfkB family carbohydrate kinase	5.17996444414879	5.27325421541175	5.11173261503835	-0.182642579866936	0.67557460162895	-0.229671308966533	0.391536155668314	0.381552811724643	0.79510907926059	0.408029449484423	0.839213111726932	none
PF00359.25	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	3.38553954485155	3.25785490827414	3.5253408886469	0.245870431638303	0.957511940057973	0.236167808129426	0.388203933111556	0.480568162007002	0.832733774050585	0.415491518980414	0.834916806914121	none
PF02302.20	PTS system, Lactose/Cellobiose specific IIB subunit	3.58319048984421	3.54341814057652	3.63829530774519	0.0646240437757966	0.946329190225844	0.0596694699300761	0.468843719049829	0.668661423098315	0.895214679835936	0.68625777506919	0.930174326697994	none
PF02378.21	Phosphotransferase system, EIIC	6.27586468258367	6.34136809925975	6.18780859814892	-0.179651361264081	0.655286867814999	-0.194513688823215	0.370209931311054	0.152892756312119	0.721825098729163	0.320853780625082	0.806263353224313	none
PF13396.9	Phospholipase_D-nuclease N-terminal	4.16725160090528	4.34964639755533	3.9960062475522	-0.368015261639721	0.942486797483996	-0.278696509345374	0.321892704320075	0.179820105128321	0.729711089277527	0.184036425413327	0.721361527856251	none
PF13091.9	PLD-like domain	5.2461106622579	5.39499700549092	5.08835877960148	-0.293276401295043	0.907941058064382	-0.221027846488105	0.34500000158777	0.210806929212469	0.735469436327169	0.239929249643882	0.768047395632516	none
PF10298.12	WhiA N-terminal LAGLIDADG-like domain	2.30537823291231	2.27628468844554	2.34485163067841	0.0446784435098611	1.31735130826717	0.0255583062528074	0.485171609600841	0.58778300856294	0.868056204836164	0.626801597245129	0.911432476043459	none
PF14527.9	WhiA LAGLIDADG-like domain	2.34186484606668	2.31103291662173	2.38719062280813	0.0848440140890352	1.32751008567368	0.0496946152690704	0.465511496488595	0.607569313964686	0.875437193041289	0.652913854082383	0.918486049504351	none
PF02650.17	WhiA C-terminal HTH domain	2.342395754852	2.31126802977697	2.38410206907989	0.0768740452432262	1.33515570641655	0.04564582077498	0.470666666939209	0.60955611402546	0.875111006985676	0.627265603019944	0.910782788846475	none
PF01226.20	Formate/nitrite transporter	-0.461658044992086	-0.913570429286259	-0.209274225946543	0.834194519459988	3.56357599900641	0.194568395498305	0.397200934015518	0.380599439173421	0.800240216718269	0.444432575635429	0.839606798090635	none
PF03462.21	PCRF domain	3.61267984438362	3.6848437190559	3.53708149700432	-0.0908507681278312	0.899171791116372	-0.0703196253415621	0.455000000420069	0.659454380615689	0.893368778887656	0.632191852836892	0.911421699542609	none
PF00472.23	RF-1 domain	3.60122249678507	3.67724214946182	3.51294604914361	-0.108322241051822	0.878146083914286	-0.0854905747098207	0.447333333826459	0.676211426431721	0.898798752151839	0.59680806432765	0.898720232567174	none
