FeatureID	Name	rab.all	rab.win.FT	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF00308.21	Bacterial dnaA  protein	2.8899885350259	2.80209695248468	2.95795014812734	-0.121663338484616	1.39406741127884	0.0601584875096586	0.465333334623486	0.646514836158432	0.827700499148061	0.695423776223776	0.849853856543873	none
PF08299.14	Bacterial dnaA protein helix-turn-helix	2.90724596951634	2.84042483925358	2.96146258878364	-0.119455555020835	1.42694990322169	0.0581898252638242	0.462666668057134	0.653991499863446	0.834000306065548	0.708397202797203	0.858648075444043	none
PF01527.23	Transposase	3.35921720609814	3.19275990038222	3.76785785435758	-0.658659708439068	2.17609187579204	0.258175679242235	0.369753502836437	0.334352504109751	0.622989314398937	0.465164435564436	0.709802763244528	none
PF01025.22	GrpE	1.03457280213254	1.82155929250121	0.616117361343888	1.15702814031715	3.00846066801009	-0.347782397507635	0.312458369165026	0.356404526361738	0.599589872177703	0.302256543456543	0.54711280233882	none
PF00012.23	Hsp70 protein	4.89396819547284	5.18343911088369	4.6402287553191	0.626311449787005	1.06997956764511	-0.572664220758702	0.247834789324005	0.13193995992684	0.407233120712378	0.169308291708292	0.418453564188501	none
PF06100.14	MCRA family	0.713195783758379	0.504124591902255	1.02476187904998	-0.582446981124528	2.91347035557693	0.153934946759685	0.413333336642635	0.58387760807302	0.786135061762532	0.627878921078921	0.804265233710845	none
PF08220.15	DeoR-like helix-turn-helix domain	3.63794110742326	3.79763200362764	3.41257579401024	0.307174589073703	1.0384576681385	-0.273286389025702	0.386000004453745	0.49624901371078	0.720778249741093	0.536887912087912	0.745056982757874	none
PF00455.25	DeoR C terminal sensor domain	3.18914696826541	3.44713564402612	2.96926131447885	0.468746771249525	1.21862245132599	-0.334971308532343	0.32844770872428	0.293413639848669	0.560736483664751	0.399151648351648	0.627125114567265	none
PF00294.27	pfkB family carbohydrate kinase	5.16740919439196	5.50150659232676	4.88197644245114	0.568336338401843	0.737915837621074	-0.669709981767172	0.237175229955208	0.109630301589698	0.363513536980853	0.137866133866134	0.374437721700566	none
PF00359.25	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	3.58696723557098	4.04222026296381	2.76389196241855	1.18605279035012	1.91676063288271	-0.567752905199795	0.199333350776673	0.0807822935077089	0.327823854424185	0.085826973026973	0.283754409360837	none
