CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
34109	36135	-0.983	0.000	0.8668	0.8643	1
34109	36326	-3.018	0.000	0.7809	0.7363	1
34109	36514	9.985	0.000	0.7210	0.7880	1
34109	36626	-2.981	0.000	0.8478	0.8597	1
34109	38151	1.943	0.000	0.7952	0.6399	1
34109	38363	-2.052	0.000	0.7477	0.7796	1
34109	40017	-2.982	0.000	0.8207	0.8131	1
34109	41342	-2.051	0.000	0.7361	0.6993	1
34119	34718	-0.000	0.000	0.9240	0.8104	1
34119	36147	-0.984	0.000	0.7827	0.6681	1
34119	36633	-2.982	0.000	0.7307	0.4199	1
34119	38140	1.943	0.000	0.7537	0.5244	1
34134	34732	-0.001	0.000	0.8031	0.4738	1
34134	38132	1.943	0.000	0.7077	0.6074	1
34134	38968	-2.016	0.000	0.8147	0.3689	1
34139	36075	-4.021	0.000	0.8014	0.3832	1
34139	36091	-5.024	0.000	0.7989	0.5443	1
34139	36157	-2.015	0.000	0.8839	0.4229	1
34139	36244	-0.000	0.000	0.7655	0.5930	1
34139	39624	-2.015	0.000	0.8732	0.8661	1
34160	34469	-7.038	0.000	0.7273	0.3755	1
34160	35592	9.951	0.000	0.7594	0.4140	1
34160	35654	5.957	0.000	0.7482	0.3758	1
34160	35777	-8.023	0.000	0.8444	0.7577	1
34160	36480	5.957	0.000	0.7546	0.3747	1
34160	36685	7.937	0.000	0.7505	0.4212	1
34160	38796	7.936	0.000	0.7188	0.3926	1
34160	39209	3.995	0.000	0.9021	0.8257	1
34160	39320	9.953	0.000	0.7591	0.3204	1
34160	40864	7.936	0.000	0.7352	0.3163	1
34160	41263	-6.080	0.000	0.7578	0.3932	1
34160	42301	-4.064	0.000	0.7542	0.3432	1
34161	34458	-7.039	0.000	0.8304	0.7079	1
34161	35613	5.958	0.000	0.8183	0.5010	1
34161	35796	-8.023	0.000	0.7601	0.6538	1
34161	36514	5.957	0.000	0.8554	0.6018	1
34161	36687	7.935	0.000	0.8188	0.5385	1
34161	38287	7.936	0.000	0.7751	0.7507	1
34161	38363	-6.080	0.000	0.8015	0.5286	1
34161	39426	9.952	0.000	0.8282	0.5965	1
34161	40073	7.936	0.000	0.8428	0.5352	1
34161	41342	-6.080	0.000	0.7969	0.4614	1
