cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
1797	150.05855650955874	0.53737825	671	1797.0	Methionine
1347	150.07698934423593	0.4698816	671	1347.0	Methionine
49233	150.08539074790366	10.636057	-1		
4090	150.0915779999615	0.76384085	-1		
2565	150.1044255580495	0.59664017	10		
1379	150.1054324048039	0.45981702	10		
925	150.11261218499547	0.42996648	-1	925.0	TRIETHANOLAMINE
8492	150.12793297934695	1.514515	-1		
560	151.03538992848107	0.39233676	555		
3691	151.06166891558922	0.7353833	10	3691.0	"""6-methoxypurine, oxamethane CollisionEnergy:102040"""
18079	151.06215463168655	2.1794536	555		
3525	151.09663379401837	0.7145194	-1		
930	151.14432285872502	0.44725788	-1		
1077	151.6257031687637	0.44592953	-1		
519	152.03614280538577	0.3914099	-1		
3628	152.05680495718602	0.7280696	10	3628.0	Spectral Match to Guanine from NIST14
2091	152.0568956511376	0.5604986	10	2091.0	Spectral Match to Guanine from NIST14
1794	152.07069734809102	0.4797969	10	1794.0	Spectral Match to Guanine from NIST14
4645	152.07078399546214	0.83776695	10	4645.0	3-Acetamidophenol
18080	152.07083445507752	2.1791205	10	18080.0	acetaminophen
7151	152.0708523838313	1.4417591	10	7151.0	acetaminophen
20913	152.1071077521744	2.4483776	10		
14761	152.10716744139583	1.9453766	10		
529	153.03290811797362	0.39115986	-1		
3412	153.04137341566576	0.7836453	10		
3996	153.06601536624547	0.7604663	10		
49085	153.07701946061795	10.53044	-1		
49243	153.07702371198	10.649668	-1		
48195	153.0770339327658	10.120774	-1		
11574	153.09122722048247	1.7471098	-1		
48916	153.11342879794475	10.501942	-1		
48292	153.1134428716977	10.096017	-1		
47890	153.11345388140535	9.858908	-1		
22944	153.12757826558794	2.7465017	-1		
1989	153.13884505822546	0.47208598	10		
11556	153.13885296637986	1.6981387	10		
3008	154.04941432072036	0.62374616	-1		
4080	154.0500002122614	0.7713889	10		
6195	154.05010596897085	1.1746814	10		
2767	154.08634917942982	0.6210029	-1		
1567	154.0975456531241	0.47219735	10	1567.0	Candidate Histamine-C2:0 (delta mass:42.0106)
5719	154.1101663428689	1.047299	-1		
24382	154.1228406700102	2.9905422	10		
49739	154.99030351934607	10.790342	48		
38691	154.99033275568354	8.605104	-1		
172	154.99033368707197	0.10571316	48		
1150	155.04275842379994	0.47238094	-1		
