CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
39818	41386	1	0.7069	2.015
39818	42555	1	0.7372	0.000
39818	44354	1	0.7704	2.016
39818	46080	1	0.7546	-0.000
37895	44313	1	0.7878	-1.031
41503	44313	1	0.8823	0.000
42435	44313	1	0.7582	-2.016
43706	44313	1	0.7901	2.016
44313	46080	1	0.7149	5.027
37518	41396	1	0.7269	-5.989
37518	41503	1	0.7289	4.979
37518	42552	1	0.7568	-8.005
40570	41396	1	0.7176	1.979
40570	44939	1	0.775	3.995
37898	42390	1	0.8281	0.000
41044	42390	1	0.7938	-2.016
42390	43485	1	0.7228	2.016
42390	45211	1	0.7915	0.984
37906	42539	1	0.8928	-0.000
34075	37904	1	0.8211	-0.984
36049	37904	1	0.7856	-2.016
36866	37904	1	0.8111	2.016
37702	37904	1	0.8266	2.016
37782	37904	1	0.8406	1.031
37904	39512	1	0.7723	3.995
37904	41396	1	0.8236	6.011
37904	42552	1	0.9598	3.995
37904	45267	1	0.8404	4.980
37904	45698	1	0.7388	6.011
37543	46160	1	0.7038	4.979
43736	46160	1	0.8128	2.016
44765	46160	1	0.735	0.000
45211	46160	1	0.8002	-2.016
37898	41044	1	0.7657	2.016
37898	42436	1	0.7045	8.026
37898	43485	1	0.7985	2.016
37898	45211	1	0.8027	0.984
34075	42552	1	0.8241	3.011
37702	42552	1	0.7831	6.011
39512	42552	1	0.7839	0.000
41396	42552	1	0.9045	-2.016
42552	43701	1	0.8089	2.016
42552	44939	1	0.7566	4.031
42552	45267	1	0.8537	0.985
42552	45698	1	0.8332	2.016
41044	43485	1	0.7933	0.000
36049	43701	1	0.8453	3.995
37702	43701	1	0.7053	8.027
41396	43701	1	0.824	0.000
41678	43701	1	0.7006	4.032
43701	44939	1	0.8538	2.016
43701	45698	1	0.7664	0.000
34075	38948	1	0.7325	0.000
36051	41044	1	0.7752	0.000
36049	36866	1	0.7629	-4.031
36049	37702	1	0.7029	-4.032
36049	41396	1	0.8451	3.995
36049	41678	1	0.77	-0.036
36049	45698	1	0.7283	3.995
36866	37702	1	0.8515	-0.000
36866	37782	1	0.7121	0.984
36866	41678	1	0.9004	3.995
38282	41705	1	0.7314	0.984
41503	41705	1	0.7234	4.032
41705	42435	1	0.766	-2.016
41705	43526	1	0.8661	-0.984
