FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c
tr_A0A6I1MM49_A0A6I1MM49_9CLOT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tr_A0A6I4WSU1_A0A6I4WSU1_AERCA	0	2	3	0	2	0	0	0	4	2	0	7	0	0	0	0	0	0	0	0	3
tr_A0A6N2XTU3_A0A6N2XTU3_9FIRM	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A6N2ZHG9_A0A6N2ZHG9_CLOSY	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A6N2ZKU8_A0A6N2ZKU8_9ACTN	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A6P1TS46_A0A6P1TS46_9FIRM	1	1	2	0	2	0	1	0	0	0	0	0	2	1	0	2	1	1	0	0	0
tr_A0A7I8D403_A0A7I8D403_9FIRM	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
tr_A0A7K0G5W2_A0A7K0G5W2_9ACTN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A7X2TKD6_A0A7X2TKD6_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
tr_A0A7X3MIN2_A0A7X3MIN2_9FIRM	0	1	1	0	1	1	0	0	2	0	0	0	1	1	1	1	0	0	0	0	0
tr_A0A810QG66_A0A810QG66_9FIRM	0	0	3	0	1	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0
tr_A0A850HF69_A0A850HF69_9FIRM	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A855A885_A0A855A885_9FIRM	1	5	1	1	6	4	1	1	7	0	0	4	1	1	1	1	1	0	1	0	1
tr_A0A8B2XLX2_A0A8B2XLX2_9FIRM	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A8I0Q0T5_A0A8I0Q0T5_MORMO	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
tr_A0A921IL61_A0A921IL61_9FIRM	0	1	4	0	2	0	0	0	4	0	0	0	1	0	0	0	1	1	0	0	0
tr_A0A921IVE9_A0A921IVE9_9ACTN	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A921J6A0_A0A921J6A0_9ACTN	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A926DVY3_A0A926DVY3_9FIRM	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
tr_A0A943BNX3_A0A943BNX3_9ACTN	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A7VXC0_A7VXC0_9FIRM	1	5	1	1	5	4	1	1	7	0	0	4	1	1	1	1	0	0	1	0	1
tr_A8RLF4_A8RLF4_ENTBW	0	1	0	0	1	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0
tr_A8RLG2_A8RLG2_ENTBW	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_B1C4T2_B1C4T2_9FIRM	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0
tr_C0EDC4_C0EDC4_9FIRM	0	1	0	0	1	1	0	0	2	0	0	0	1	1	1	1	0	0	0	0	0
tr_C2CHS4_C2CHS4_9FIRM	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0
tr_C4FAG1_C4FAG1_9ACTN	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_C6PU30_C6PU30_9CLOT	2	1	2	1	1	2	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0
tr_D3L852_D3L852_OENOE	78	133	157	23	134	67	98	36	188	51	30	51	108	104	79	47	71	51	47	74	73
tr_E7GDJ9_E7GDJ9_9FIRM	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_E7GNR6_E7GNR6_CLOSY	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_G5HTY0_G5HTY0_9FIRM	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_G9YR35_G9YR35_FLAPL	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_G9YSR9_G9YSR9_FLAPL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
tr_N9XMW9_N9XMW9_9FIRM	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_R0A5H6_R0A5H6_9FIRM	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_R5EWY1_R5EWY1_9CLOT	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_R5M9U6_R5M9U6_9CLOT	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0
tr_R6QY42_R6QY42_9FIRM	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_R6RWB1_R6RWB1_9CLOT	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
tr_R6YVJ4_R6YVJ4_9ACTN	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_S0FQ07_S0FQ07_RUMCE	2	1	2	1	2	0	1	0	0	0	0	0	2	1	0	2	1	1	0	0	0
tr_V2XPW3_V2XPW3_9FIRM	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
tr_W7UXF9_W7UXF9_RUMFL	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
