FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c
tr_A0A426DFQ3_A0A426DFQ3_9FIRM	1	1	2	2	2	1	0	0	0	1	1	0	0	0	3	0	0	1	0	2	0	0	0	1	1	1	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0	0
tr_A0A426DFX4_A0A426DFX4_9FIRM	0	0	1	3	2	0	0	0	1	1	1	3	0	0	1	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0
tr_A0A4P6M3P6_A0A4P6M3P6_9FIRM	0	2	2	0	1	1	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A4P7VQQ5_A0A4P7VQQ5_9BACT	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A4P8ICW8_A0A4P8ICW8_9FIRM	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A4R2LR43_A0A4R2LR43_FLAPL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A4R2LXF5_A0A4R2LXF5_FLAPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tr_A0A4R3MPD0_A0A4R3MPD0_9FIRM	0	2	0	0	1	2	0	0	0	5	0	0	4	0	1	0	0	0	2	4	1	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tr_A0A4R3Z8B6_A0A4R3Z8B6_9FIRM	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A4S2G132_A0A4S2G132_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A4U8Q543_A0A4U8Q543_9FIRM	0	1	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A517YPL6_A0A517YPL6_9BACT	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A5K1J4Z3_A0A5K1J4Z3_9ACTN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A5Q0DNJ3_A0A5Q0DNJ3_ALCFA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
