FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c
tr_A0A6I1MM49_A0A6I1MM49_9CLOT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A6I4WSU1_A0A6I4WSU1_AERCA	1	0	0	0	2	0	0	4	0	0	1	6	0	0	0	4	0	1	0	4	0
tr_A0A6P1TS46_A0A6P1TS46_9FIRM	1	0	1	2	1	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1
tr_A0A7I8D403_A0A7I8D403_9FIRM	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
tr_A0A7X2TKD6_A0A7X2TKD6_9FIRM	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
tr_A0A7X3MIN2_A0A7X3MIN2_9FIRM	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
tr_A0A810QG66_A0A810QG66_9FIRM	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1
tr_A0A855A885_A0A855A885_9FIRM	1	1	3	8	2	1	3	3	0	0	1	8	0	1	1	1	0	1	1	0	1
tr_A0A8I0Q0T5_A0A8I0Q0T5_MORMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	3	2
tr_A0A921IL61_A0A921IL61_9FIRM	0	0	2	0	3	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1
tr_A0A926DVY3_A0A926DVY3_9FIRM	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_A7VXC0_A7VXC0_9FIRM	1	1	2	8	2	1	3	3	0	0	0	8	0	0	1	1	0	1	1	0	1
tr_A8RLF4_A8RLF4_ENTBW	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
tr_A8RLG2_A8RLG2_ENTBW	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_C0EDC4_C0EDC4_9FIRM	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_C6LHK8_C6LHK8_9FIRM	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
tr_C6PU30_C6PU30_9CLOT	1	0	1	2	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1
tr_D3L852_D3L852_OENOE	65	21	130	180	123	89	33	127	18	26	32	268	19	39	21	195	120	59	174	37	99
tr_E7GDJ9_E7GDJ9_9FIRM	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_R2QCK8_R2QCK8_9ENTE	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_R5B6T8_R5B6T8_9BACE	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_R5M9U6_R5M9U6_9CLOT	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
tr_R6RWB1_R6RWB1_9CLOT	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_R7IT85_R7IT85_9CLOT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_R7QYW0_R7QYW0_9FIRM	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_R7R1N8_R7R1N8_9FIRM	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr_S0FQ07_S0FQ07_RUMCE	1	0	1	1	1	1	0	0	0	0	0	3	0	0	0	3	0	0	0	0	1
tr_S6FT47_S6FT47_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	1	0
tr_V2XPW3_V2XPW3_9FIRM	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
tr_W7UXF9_W7UXF9_RUMFL	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
