FeatureID	BSH_strain	t0hvt24h	t0hvt48h	t24hvt48h
43985	ctrl	NA	NA	NA
44290	ctrl	NA	NA	NA
43992	ctrl	NA	NA	NA
44778	ctrl	NA	NA	NA
44876	ctrl	NA	NA	NA
44874	ctrl	NA	NA	NA
44873	ctrl	NA	NA	NA
44871	ctrl	NA	NA	NA
44922	ctrl	NA	NA	NA
44812	ctrl	NA	NA	NA
45876	ctrl	NA	NA	NA
45912	ctrl	NA	NA	NA
45939	ctrl	NA	NA	NA
45966	ctrl	NA	NA	NA
46576	ctrl	NA	NA	NA
46560	ctrl	NA	NA	NA
46679	ctrl	NA	NA	NA
46989	ctrl	NA	NA	NA
47201	ctrl	NA	NA	NA
48395	ctrl	NA	NA	NA
49085	ctrl	NA	NA	NA
49865	ctrl	0.462102013875536	1	0.462102013875536
49584	ctrl	0.462102013875536	1	0.462102013875536
49829	ctrl	NA	NA	NA
50685	ctrl	NA	NA	NA
51134	ctrl	NA	NA	NA
50529	ctrl	NA	NA	NA
53441	ctrl	NA	NA	NA
53468	ctrl	NA	NA	NA
51760	ctrl	NA	NA	NA
54171	ctrl	NA	NA	NA
54438	ctrl	0.94895583804458	0.94895583804458	0.94895583804458
54422	ctrl	NA	NA	NA
54673	ctrl	NA	NA	NA
55673	ctrl	0.0884210543917665	0.0884210543917665	0.63299078985606
55757	ctrl	NA	NA	NA
56239	ctrl	NA	NA	NA
107_i	ctrl	0.462102013875536	1	0.462102013875536
11_i	ctrl	0.100025722402291	0.100025722402291	0.7535903914654
110_i	ctrl	NA	NA	NA
119_i	ctrl	0.983557237531446	0.983557237531446	0.983557237531446
127_i	ctrl	0.51914788573358	0.0940088188946497	0.0940088188946497
129_i	ctrl	NA	NA	NA
138_i	ctrl	0.0704453837976934	0.124630063941863	0.18492496303596
144_i	ctrl	NA	NA	NA
147_i	ctrl	0.576208493831139	0.366016865877677	0.366016865877677
148_i	ctrl	NA	NA	NA
157_i	ctrl	NA	NA	NA
158_i	ctrl	0.280525710092962	0.857790332443967	0.280525710092962
171_i	ctrl	0.71379746150337	0.924136499865873	0.71379746150337
175_i	ctrl	0.746244515780392	0.746244515780392	0.746244515780392
178_i	ctrl	NA	NA	NA
184_i	ctrl	0.317282974663204	0.884039567828329	0.317282974663204
185_i	ctrl	NA	NA	NA
190_i	ctrl	NA	NA	NA
201_i	ctrl	NA	NA	NA
205_i	ctrl	0.233514506144663	0.233514506144663	0.86194366879886
210_i	ctrl	NA	NA	NA
214_i	ctrl	NA	NA	NA
216_i	ctrl	NA	NA	NA
217_i	ctrl	0.703854061190912	0.703854061190912	0.893485908161484
218_i	ctrl	NA	NA	NA
219_i	ctrl	0.860227113386401	0.283672581214343	0.283672581214343
220_i	ctrl	0.424491227114765	0.424491227114765	0.559374807423948
223_i	ctrl	NA	NA	NA
224_i	ctrl	NA	NA	NA
228_i	ctrl	0.0907261624600488	0.0907261624600488	0.522698550487418
229_i	ctrl	NA	NA	NA
23_i	ctrl	0.462102013875536	1	0.462102013875536
232_i	ctrl	NA	NA	NA
234_i	ctrl	NA	NA	NA
236_i	ctrl	NA	NA	NA
238_i	ctrl	NA	NA	NA
239_i	ctrl	0.6621382947344	0.729863189807742	0.6621382947344
240_i	ctrl	NA	NA	NA
41_i	ctrl	0.664908316696561	0.664908316696561	0.98032455343063
59_i	ctrl	NA	NA	NA
62_i	ctrl	NA	NA	NA
68_i	ctrl	0.188782931218159	0.266875805092212	0.337478216956878
7_i	ctrl	NA	NA	NA
70_i	ctrl	NA	NA	NA
85_i	ctrl	NA	NA	NA
88_i	ctrl	NA	NA	NA
89_i	ctrl	NA	NA	NA
99_i	ctrl	0.204801911865311	0.204801911865311	0.683793089721649
5464	Dny-BSH1	NA	NA	NA
33999	Dny-BSH1	NA	NA	NA
33793	Dny-BSH1	NA	NA	NA
