FeatureID	BSH_strain	comparison	pval	BA_suppl
158_i	Dny-BSH1	t0hvt48h	0.00120670167222772	GUDCA
214_i	Dny-BSH1	t0hvt48h	0.00321674000936204	GUDCA
70_i	Dny-BSH1	t0hvt48h	0.000462773096836984	GUDCA
110_i	Dny-BSH2	t0hvt48h	0.000394930441359424	GUDCA
224_i	EcAZ-1-cat	t0hvt48h	0.00865044009999063	GUDCA
129_i	Ep-BSH101	t0hvt48h	0.000174881332736354	GUDCA
138_i	Ep-BSH101	t0hvt48h	0.00786561907473783	GUDCA
224_i	Ep-BSH101	t0hvt48h	0.0251234903219174	GUDCA
129_i	LCAG-95-BSH1208	t0hvt48h	0.000418505813954464	GUDCA
138_i	LCAG-95-BSH1208	t0hvt48h	0.0415937482694605	GUDCA
158_i	LCAG-95-BSH1208	t0hvt48h	0.0114569931078867	GUDCA
178_i	LCAG-95-BSH1208	t0hvt48h	2.90469736930371e-05	GUDCA
190_i	LCAG-95-BSH1208	t0hvt48h	0.000338165169804382	GUDCA
205_i	LCAG-95-BSH1208	t0hvt48h	0.0117199711236326	GUDCA
214_i	LCAG-95-BSH1208	t0hvt48h	0.00406058989516412	GUDCA
238_i	LCAG-95-BSH1208	t0hvt48h	0.00695576239671894	GUDCA
70_i	LCAG-95-BSH1208	t0hvt48h	0.000256879916631747	GUDCA
129_i	Lgasseri-BSH	t0hvt48h	3.93906302060584e-06	GUDCA
138_i	Lgasseri-BSH	t0hvt48h	0.0293395758082018	GUDCA
147_i	Lgasseri-BSH	t0hvt48h	0.0180367328016681	GUDCA
214_i	Lgasseri-BSH	t0hvt48h	0.0240066679561896	GUDCA
223_i	Lgasseri-BSH	t0hvt48h	0.00214987313783064	GUDCA
129_i	AZ-52	t0hvt48h	0.00934682679097448	TCA
55673	ctrl	t0hvt48h	0.016807931851904	TCA
11_i	ctrl	t0hvt48h	0.0299822175337109	TCA
50529	Dny-BSH1	t0hvt48h	0.00227974088102372	TCA
55673	Dny-BSH1	t0hvt48h	0.00193391357702876	TCA
11_i	Dny-BSH1	t0hvt48h	0.0181007241437831	TCA
201_i	Dny-BSH1	t0hvt48h	0.00494499896081607	TCA
49584	EcAZ-1-cat	t0hvt48h	0.0460358234980015	TCA
55673	EcAZ-1-cat	t0hvt48h	0.0165014396772273	TCA
11_i	EcAZ-1-cat	t0hvt48h	0.019728956205828	TCA
129_i	EcAZ-1-cat	t0hvt48h	0.014734925427728	TCA
129_i	Ep-BSH101	t0hvt48h	0.0203988065754484	TCA
129_i	LCAG-95-BSH1208	t0hvt48h	0.0248700196671463	TCA
55673	Lgasseri-BSH	t0hvt48h	0.0323700249252274	TCA
44290	AZ-52	t0hvt48h	0.00674362958428773	TCDCA
50529	AZ-52	t0hvt48h	1.5600318797579e-06	TCDCA
129_i	AZ-52	t0hvt48h	0.0117011435704222	TCDCA
138_i	AZ-52	t0hvt48h	0.000533866320984032	TCDCA
184_i	AZ-52	t0hvt48h	0.00636156526886433	TCDCA
190_i	AZ-52	t0hvt48h	2.6146246508605e-07	TCDCA
224_i	AZ-52	t0hvt48h	0.0027083267729346	TCDCA
228_i	AZ-52	t0hvt48h	0.0157473766191484	TCDCA
232_i	AZ-52	t0hvt48h	0.0316097378471123	TCDCA
49584	ctrl	t0hvt48h	0.00596574038076254	TCDCA
110_i	ctrl	t0hvt48h	7.4525678294075e-07	TCDCA
129_i	ctrl	t0hvt48h	0.0159080187735237	TCDCA
138_i	ctrl	t0hvt48h	0.00839676783433901	TCDCA
224_i	ctrl	t0hvt48h	8.36922427915278e-06	TCDCA
236_i	ctrl	t0hvt48h	0.000165101487955399	TCDCA
50529	Dny-BSH1	t0hvt48h	2.45182811917733e-05	TCDCA
129_i	Dny-BSH1	t0hvt48h	3.51721224251742e-05	TCDCA
138_i	Dny-BSH1	t0hvt48h	3.25646411069006e-06	TCDCA
158_i	Dny-BSH1	t0hvt48h	0.00317224984704018	TCDCA
184_i	Dny-BSH1	t0hvt48h	0.00229131398520039	TCDCA
190_i	Dny-BSH1	t0hvt48h	4.09644755454153e-07	TCDCA
224_i	Dny-BSH1	t0hvt48h	0.00026094883316212	TCDCA
228_i	Dny-BSH1	t0hvt48h	0.0196426291939631	TCDCA
229_i	Dny-BSH1	t0hvt48h	0.00152594982496934	TCDCA
110_i	Dny-BSH2	t0hvt48h	3.3107453234221e-05	TCDCA
129_i	Dny-BSH2	t0hvt48h	0.000127721866286039	TCDCA
138_i	Dny-BSH2	t0hvt48h	2.69309163095694e-05	TCDCA
224_i	Dny-BSH2	t0hvt48h	1.71555368664083e-05	TCDCA
236_i	Dny-BSH2	t0hvt48h	6.33293141434232e-05	TCDCA
39443	EcAZ-1-cat	t0hvt48h	3.58657057637236e-06	TCDCA
40087	EcAZ-1-cat	t0hvt48h	0.0306585747625775	TCDCA
129_i	EcAZ-1-cat	t0hvt48h	0.000665097821531595	TCDCA
224_i	EcAZ-1-cat	t0hvt48h	5.61935855947093e-05	TCDCA
236_i	EcAZ-1-cat	t0hvt48h	7.45832672195212e-05	TCDCA
110_i	Ep-BSH101	t0hvt48h	5.91502022272011e-06	TCDCA
129_i	Ep-BSH101	t0hvt48h	0.00560528388350483	TCDCA
138_i	Ep-BSH101	t0hvt48h	5.19090141146378e-05	TCDCA
218_i	Ep-BSH101	t0hvt48h	3.54434160271483e-08	TCDCA
224_i	Ep-BSH101	t0hvt48h	1.07189111453162e-05	TCDCA
236_i	Ep-BSH101	t0hvt48h	1.93588777019454e-05	TCDCA
7_i	Ep-BSH101	t0hvt48h	0.0108246512933689	TCDCA
42314	LCAG-95-BSH1208	t0hvt48h	0.00139512674972766	TCDCA
50529	LCAG-95-BSH1208	t0hvt48h	0.000272595361003846	TCDCA
129_i	LCAG-95-BSH1208	t0hvt48h	0.000199059746668633	TCDCA
138_i	LCAG-95-BSH1208	t0hvt48h	1.77544275092956e-06	TCDCA
190_i	LCAG-95-BSH1208	t0hvt48h	8.61377600430296e-08	TCDCA
218_i	LCAG-95-BSH1208	t0hvt48h	0.00863353296852957	TCDCA
224_i	LCAG-95-BSH1208	t0hvt48h	0.00260399851566651	TCDCA
229_i	LCAG-95-BSH1208	t0hvt48h	9.78156128174298e-06	TCDCA
236_i	LCAG-95-BSH1208	t0hvt48h	0.000483224451357078	TCDCA
34879	Lgasseri-BSH	t0hvt48h	4.98845438993169e-05	TCDCA
190_i	Lgasseri-BSH	t0hvt48h	2.2923986346673e-07	TCDCA
218_i	Lgasseri-BSH	t0hvt48h	0.0016128477213796	TCDCA
224_i	Lgasseri-BSH	t0hvt48h	0.00238285424655394	TCDCA
229_i	Lgasseri-BSH	t0hvt48h	0.0441026554493581	TCDCA
232_i	Lgasseri-BSH	t0hvt48h	0.0421621318928635	TCDCA
7_i	Lgasseri-BSH	t0hvt48h	0.000192434414539617	TCDCA
44812	AZ-52	t0hvt48h	0.00114580945488108	TDCA
49584	AZ-52	t0hvt48h	0.0406389200314052	TDCA
55673	AZ-52	t0hvt48h	0.0133264294584833	TDCA
11_i	AZ-52	t0hvt48h	0.0100630197106047	TDCA
129_i	AZ-52	t0hvt48h	0.0126332088353743	TDCA
218_i	AZ-52	t0hvt48h	0.00102262248429432	TDCA
54422	Dny-BSH1	t0hvt48h	2.33238595402953e-08	TDCA
55673	Dny-BSH1	t0hvt48h	0.014623531541102	TDCA
11_i	Dny-BSH1	t0hvt48h	0.0214338603854861	TDCA
129_i	Dny-BSH1	t0hvt48h	0.00473780420266193	TDCA
55673	EcAZ-1-cat	t0hvt48h	0.0427512058133279	TDCA
11_i	EcAZ-1-cat	t0hvt48h	0.043311797914989	TDCA
55673	Ep-BSH101	t0hvt48h	0.0161130307709232	TDCA
11_i	Ep-BSH101	t0hvt48h	0.00862970802934836	TDCA
218_i	LCAG-95-BSH1208	t0hvt48h	1.68461550222386e-06	TDCA
229_i	LCAG-95-BSH1208	t0hvt48h	0.000507109956371476	TDCA
144_i	Lgasseri-BSH	t0hvt48h	0.000769236176886667	TDCA
129_i	AZ-52	t0hvt48h	0.00254931877673902	TLCA
184_i	AZ-52	t0hvt48h	0.0162393065805351	TLCA
236_i	AZ-52	t0hvt48h	0.000541640372426242	TLCA
240_i	AZ-52	t0hvt48h	1.01416035381495e-05	TLCA
54422	Dny-BSH1	t0hvt48h	5.41523229822468e-06	TLCA
55673	Dny-BSH1	t0hvt48h	0.00265231719186911	TLCA
11_i	Dny-BSH1	t0hvt48h	0.00191508641928241	TLCA
129_i	Dny-BSH1	t0hvt48h	6.29047655008658e-05	TLCA
129_i	Dny-BSH2	t0hvt48h	0.000479817151075197	TLCA
41_i	Dny-BSH2	t0hvt48h	1.17434997874468e-05	TLCA
68_i	EcAZ-1-cat	t0hvt48h	0.00951519269211435	TLCA
49584	Ep-BSH101	t0hvt48h	0.000172340462019636	TLCA
55673	Ep-BSH101	t0hvt48h	0.0395982927170995	TLCA
11_i	Ep-BSH101	t0hvt48h	0.0308742748151845	TLCA
129_i	Ep-BSH101	t0hvt48h	0.00312772728992649	TLCA
99_i	Ep-BSH101	t0hvt48h	0.0376850150722083	TLCA
49584	LCAG-95-BSH1208	t0hvt48h	0.00370995476059018	TLCA
55673	LCAG-95-BSH1208	t0hvt48h	0.00830866231953088	TLCA
11_i	LCAG-95-BSH1208	t0hvt48h	0.0083610875341425	TLCA
129_i	LCAG-95-BSH1208	t0hvt48h	0.000806534028376641	TLCA
236_i	LCAG-95-BSH1208	t0hvt48h	0.00410954817594418	TLCA
240_i	LCAG-95-BSH1208	t0hvt48h	0.00033681928922659	TLCA
99_i	LCAG-95-BSH1208	t0hvt48h	0.00176107781602941	TLCA
55673	Lgasseri-BSH	t0hvt48h	0.00465570325519205	TLCA
11_i	Lgasseri-BSH	t0hvt48h	0.00465627423500726	TLCA
129_i	Lgasseri-BSH	t0hvt48h	0.0110306995924378	TLCA
219_i	Lgasseri-BSH	t0hvt48h	0.0402205832854973	TLCA
99_i	Lgasseri-BSH	t0hvt48h	0.00235421337185825	TLCA
33999	AZ-52	t0hvt48h	0.00223073954762065	TUDCA
38983	AZ-52	t0hvt48h	0.000397138788449631	TUDCA
50685	AZ-52	t0hvt48h	1.06624428147073e-09	TUDCA
129_i	AZ-52	t0hvt48h	0.000249691648811604	TUDCA
214_i	AZ-52	t0hvt48h	0.0024567011369819	TUDCA
70_i	AZ-52	t0hvt48h	0.00134459466118669	TUDCA
33999	Dny-BSH1	t0hvt48h	1.29007685676914e-06	TUDCA
50685	Dny-BSH1	t0hvt48h	4.08905837377518e-05	TUDCA
55673	Dny-BSH1	t0hvt48h	0.0327367268673264	TUDCA
11_i	Dny-BSH1	t0hvt48h	0.0165881156802019	TUDCA
129_i	Dny-BSH1	t0hvt48h	7.82665737627401e-05	TUDCA
205_i	Dny-BSH1	t0hvt48h	4.72736569502253e-05	TUDCA
214_i	Dny-BSH1	t0hvt48h	0.0484924148159452	TUDCA
