FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
Pradoshia_sp001183965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QWKK01_sp009911695	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus_xylosus	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Traorella_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA3282_sp003611805	0	0	0	0	0	0	0	0	0	0	0	2	36	72	53	0	0	13	22	21	25
UBA7477_sp001940995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
UBA7805_sp002168195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA8158_sp003449595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMGS872_sp900546275	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Vagococcus_D_fessus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ventrimonas_sp003611875	0	0	0	0	0	0	0	0	0	0	0	0	2	25	0	6	13	7	2	8	22
Vibrio_mediterranei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
